County,Year,Lat.y,Long.y,Votes_DEM,Votes_REP
CHOWAN,2008,36.1508,-76.6079,3688,3773
CLAY,2008,35.0572,-83.7502,1734,3707
CLEVELAND,2008,35.3341,-81.5555,17363,26078
COLUMBUS,2008,34.2656,-78.655,11076,12994
CRAVEN,2008,35.1249,-77.0939,19352,24901
CUMBERLAND,2008,35.0487,-78.8277,74693,52151
CURRITUCK,2008,36.4031,-76.0059,3737,7234
DARE,2008,35.7805,-75.7982,8074,9745
DAVIDSON,2008,35.7933,-80.2128,22433,45419
DAVIE,2008,35.9291,-80.5445,6178,13981
DUPLIN,2008,34.9365,-77.933,8958,10834
DURHAM,2008,36.036,-78.8766,103456,32353
EDGECOMBE,2008,35.9129,-77.5971,17403,8445
FORSYTH,2008,36.1306,-80.2563,91085,73674
FRANKLIN,2008,36.0827,-78.2857,13085,13273
GASTON,2008,35.2944,-81.1803,31384,52507
GATES,2008,36.4449,-76.7005,2830,2547
GRAHAM,2008,35.3502,-83.8335,1265,2824
GRANVILLE,2008,36.304,-78.6527,13074,11447
GREENE,2008,35.485,-77.6758,3796,4272
GUILFORD,2008,36.0795,-79.7889,142101,97718
HALIFAX,2008,36.2574,-77.6517,16047,8961
HARNETT,2008,35.3688,-78.8693,16785,23579
HAYWOOD,2008,35.556,-82.9822,12730,14910
HENDERSON,2008,35.3363,-82.48,20082,30930
HERTFORD,2008,36.3591,-76.982,7513,3089
HOKE,2008,35.0175,-79.2373,9227,6293
HYDE,2008,35.5305,-76.2509,1241,1212
IREDELL,2008,35.8071,-80.8734,27318,45148
JACKSON,2008,35.2876,-83.1408,8766,7854
JOHNSTON,2008,35.5178,-78.3657,26795,43622
JONES,2008,35.0217,-77.3552,2378,2817
LEE,2008,35.4752,-79.1715,10784,12775
LENOIR,2008,35.2388,-77.6412,13378,13401
LINCOLN,2008,35.4856,-81.2235,11713,23631
MACON,2008,35.1505,-83.4222,6620,10317
MADISON,2008,35.858,-82.7058,5026,5192
MARTIN,2008,35.8432,-77.1092,6539,5957
MCDOWELL,2008,35.6817,-82.0493,6571,11534
MECKLENBURG,2008,35.2467,-80.8328,253958,153848
MITCHELL,2008,36.0133,-82.1636,2238,5499
MONTGOMERY,2008,35.3325,-79.9055,4926,6155
MOORE,2008,35.3106,-79.4814,17624,27314
NASH,2008,35.9673,-77.9864,23099,23728
NEW HANOVER,2008,34.2328,-77.8847,49145,50544
NORTHAMPTON,2008,36.4178,-77.3969,6903,3671
ONSLOW,2008,34.7321,-77.4321,19499,30278
ORANGE,2008,36.0611,-79.1207,53806,20266
PAMLICO,2008,35.1435,-76.7407,2838,3823
PASQUOTANK,2008,36.2955,-76.284,10272,7778
PENDER,2008,34.5248,-77.9051,9907,13618
PERQUIMANS,2008,36.2059,-76.4411,2772,3678
PERSON,2008,36.39,-78.9718,8446,10030
PITT,2008,35.5933,-77.3745,40501,33927
POLK,2008,35.2793,-82.1697,4396,5990
RANDOLPH,2008,35.7103,-79.806,16414,40998
RICHMOND,2008,35.0059,-79.7479,9713,9424
ROBESON,2008,34.6402,-79.1039,23058,17433
ROCKINGHAM,2008,36.396,-79.775,17255,23899
ROWAN,2008,35.6394,-80.5247,23391,37451
RUTHERFORD,2008,35.4026,-81.9198,9641,18769
SAMPSON,2008,34.9916,-78.3714,11836,14038
SCOTLAND,2008,34.8409,-79.4804,8151,6005
STANLY,2008,35.3119,-80.251,8878,19329
STOKES,2008,36.4019,-80.2397,6875,14488
SURRY,2008,36.4146,-80.688,10475,18730
SWAIN,2008,35.4868,-83.4928,2806,2900
TRANSYLVANIA,2008,35.2021,-82.7982,7275,9401
TYRRELL,2008,35.8172,-76.209,933,960
UNION,2008,34.9884,-80.5307,31189,54123
VANCE,2008,36.3649,-78.4079,13166,7606
WAKE,2008,35.7903,-78.6503,250891,187001
WARREN,2008,36.3965,-78.1067,7086,3063
WASHINGTON,2008,35.8226,-76.5775,3748,2670
WATAUGA,2008,36.2311,-81.6964,14558,13344
WAYNE,2008,35.364,-78.004,22671,26952
WILKES,2008,36.2062,-81.163,8934,20288
WILSON,2008,35.7051,-77.9187,19652,17375
