County,Year,Population
Alamance,2000,"171,415"
Alexander,2000,"36,444"
Alleghany,2000,"10,888"
Anson,2000,"22,055"
Ashe,2000,"26,577"
Avery,2000,"17,806"
Beaufort,2000,"44,652"
Bertie,2000,"17,934"
Bladen,2000,"29,606"
Brunswick,2000,"136,694"
Buncombe,2000,"269,452"
Burke,2000,"87,570"
Cabarrus,2000,"225,807"
Caldwell,2000,"80,652"
Camden,2000,"10,355"
Carteret,2000,"67,686"
Caswell,2000,"22,736"
Catawba,2000,"160,610"
Chatham,2000,"76,285"
Cherokee,2000,"28,774"
Chowan,2000,"13,708"
Clay,2000,"11,089"
Cleveland,2000,"99,519"
Columbus,2000,"50,623"
Craven,2000,"100,720"
Cumberland,2000,"334,728"
Currituck,2000,"28,100"
Dare,2000,"36,915"
Davidson,2000,"168,930"
Davie,2000,"42,712"
Duplin,2000,"48,715"
Durham,2000,"324,833"
Edgecombe,2000,"48,900"
Forsyth,2000,"382,590"
Franklin,2000,"68,573"
Gaston,2000,"227,943"
Gates,2000,"10,478"
Graham,2000,"8,030"
Granville,2000,"60,992"
Greene,2000,"20,451"
Guilford,2000,"541,309"
Halifax,2000,"48,622"
Harnett,2000,"133,568"
Haywood,2000,"62,089"
Henderson,2000,"116,281"
Hertford,2000,"21,552"
Hoke,2000,"52,082"
Hyde,2000,"4,589"
Iredell,2000,"186,699"
Jackson,2000,"43,109"
Johnston,2000,"215,999"
Jones,2000,"9,172"
Lee,2000,"63,285"
Lenoir,2000,"55,122"
Lincoln,2000,"86,810"
McDowell,2000,"44,578"
Macon,2000,"37,014"
Madison,2000,"21,193"
Martin,2000,"22,031"
Mecklenburg,2000,"1,115,482"
Mitchell,2000,"14,903"
Montgomery,2000,"25,751"
Moore,2000,"99,727"
Nash,2000,"94,970"
New Hanover,2000,"225,702"
Northampton,2000,"17,471"
Onslow,2000,"204,576"
Orange,2000,"148,696"
Pamlico,2000,"12,276"
Pasquotank,2000,"40,568"
Pender,2000,"60,203"
Perquimans,2000,"13,005"
Person,2000,"39,097"
Pitt,2000,"170,243"
Polk,2000,"19,328"
Randolph,2000,"144,171"
Richmond,2000,"42,946"
Robeson,2000,"116,530"
Rockingham,2000,"91,096"
Rowan,2000,"146,875"
Rutherford,2000,"64,444"
Sampson,2000,"59,036"
Scotland,2000,"34,174"
Stanly,2000,"62,504"
Stokes,2000,"44,520"
Surry,2000,"71,359"
Swain,2000,"14,117"
Transylvania,2000,"32,986"
Tyrrell,2000,"3,245"
Union,2000,"238,267"
Vance,2000,"42,578"
Wake,2000,"1,129,393"
Warren,2000,"18,642"
Washington,2000,"11,003"
Watauga,2000,"54,086"
Wayne,2000,"117,333"
Wilkes,2000,"65,969"
Wilson,2000,"78,784"
Yadkin,2000,"37,214"
Yancey,2000,"18,470"
