County,Year,Population
Alamance,2008,"171,415"
Alexander,2008,"36,444"
Alleghany,2008,"10,888"
Anson,2008,"22,055"
Ashe,2008,"26,577"
Avery,2008,"17,806"
Beaufort,2008,"44,652"
Bertie,2008,"17,934"
Bladen,2008,"29,606"
Brunswick,2008,"136,694"
Buncombe,2008,"269,452"
Burke,2008,"87,570"
Cabarrus,2008,"225,807"
Caldwell,2008,"80,652"
Camden,2008,"10,355"
Carteret,2008,"67,686"
Caswell,2008,"22,736"
Catawba,2008,"160,610"
Chatham,2008,"76,285"
Cherokee,2008,"28,774"
Chowan,2008,"13,708"
Clay,2008,"11,089"
Cleveland,2008,"99,519"
Columbus,2008,"50,623"
Craven,2008,"100,720"
Cumberland,2008,"334,728"
Currituck,2008,"28,100"
Dare,2008,"36,915"
Davidson,2008,"168,930"
Davie,2008,"42,712"
Duplin,2008,"48,715"
Durham,2008,"324,833"
Edgecombe,2008,"48,900"
Forsyth,2008,"382,590"
Franklin,2008,"68,573"
Gaston,2008,"227,943"
Gates,2008,"10,478"
Graham,2008,"8,030"
Granville,2008,"60,992"
Greene,2008,"20,451"
Guilford,2008,"541,309"
Halifax,2008,"48,622"
Harnett,2008,"133,568"
Haywood,2008,"62,089"
Henderson,2008,"116,281"
Hertford,2008,"21,552"
Hoke,2008,"52,082"
Hyde,2008,"4,589"
Iredell,2008,"186,699"
Jackson,2008,"43,109"
Johnston,2008,"215,999"
Jones,2008,"9,172"
Lee,2008,"63,285"
Lenoir,2008,"55,122"
Lincoln,2008,"86,810"
McDowell,2008,"44,578"
Macon,2008,"37,014"
Madison,2008,"21,193"
Martin,2008,"22,031"
Mecklenburg,2008,"1,115,482"
Mitchell,2008,"14,903"
Montgomery,2008,"25,751"
Moore,2008,"99,727"
Nash,2008,"94,970"
New Hanover,2008,"225,702"
Northampton,2008,"17,471"
Onslow,2008,"204,576"
Orange,2008,"148,696"
Pamlico,2008,"12,276"
Pasquotank,2008,"40,568"
Pender,2008,"60,203"
Perquimans,2008,"13,005"
Person,2008,"39,097"
Pitt,2008,"170,243"
Polk,2008,"19,328"
Randolph,2008,"144,171"
Richmond,2008,"42,946"
Robeson,2008,"116,530"
Rockingham,2008,"91,096"
Rowan,2008,"146,875"
Rutherford,2008,"64,444"
Sampson,2008,"59,036"
Scotland,2008,"34,174"
Stanly,2008,"62,504"
Stokes,2008,"44,520"
Surry,2008,"71,359"
Swain,2008,"14,117"
Transylvania,2008,"32,986"
Tyrrell,2008,"3,245"
Union,2008,"238,267"
Vance,2008,"42,578"
Wake,2008,"1,129,393"
Warren,2008,"18,642"
Washington,2008,"11,003"
Watauga,2008,"54,086"
Wayne,2008,"117,333"
Wilkes,2008,"65,969"
Wilson,2008,"78,784"
Yadkin,2008,"37,214"
Yancey,2008,"18,470"
