County,Year,Votes_DEM,Votes_REP,Lat,Long
DAVIDSON,2020,22636,64658,35.7933,-80.2128
DAVIE,2020,6713,18228,35.9291,-80.5445
DUPLIN,2020,8767,13793,34.9365,-77.933
DURHAM,2020,144688,32459,36.036,-78.8766
EDGECOMBE,2020,16089,9206,35.9129,-77.5971
FORSYTH,2020,113033,85064,36.1306,-80.2563
FRANKLIN,2020,15879,20901,36.0827,-78.2857
GASTON,2020,40959,73033,35.2944,-81.1803
GATES,2020,2546,3367,36.4449,-76.7005
GRAHAM,2020,905,3710,35.3502,-83.8335
GRANVILLE,2020,14565,16647,36.304,-78.6527
GREENE,2020,3832,4874,35.485,-77.6758
GUILFORD,2020,173086,107294,36.0795,-79.7889
HALIFAX,2020,15545,10080,36.2574,-77.6517
HARNETT,2020,22093,35177,35.3688,-78.8693
HAYWOOD,2020,13144,22834,35.556,-82.9822
HENDERSON,2020,27211,40032,35.3363,-82.48
HERTFORD,2020,7097,3479,36.3591,-76.982
HOKE,2020,11804,9453,35.0175,-79.2373
HYDE,2020,1046,1418,35.5305,-76.2509
IREDELL,2020,33888,67010,35.8071,-80.8734
JACKSON,2020,9591,11356,35.2876,-83.1408
JOHNSTON,2020,41257,68353,35.5178,-78.3657
JONES,2020,2197,3280,35.0217,-77.3552
LEE,2020,12143,16469,35.4752,-79.1715
LENOIR,2020,13605,14590,35.2388,-77.6412
LINCOLN,2020,13274,36341,35.4856,-81.2235
MACON,2020,6230,14211,35.1505,-83.4222
MADISON,2020,4901,7979,35.858,-82.7058
MARTIN,2020,5911,6532,35.8432,-77.1092
MCDOWELL,2020,5832,16883,35.6817,-82.0493
MECKLENBURG,2020,378107,179211,35.2467,-80.8328
MITCHELL,2020,1867,7090,36.0133,-82.1636
MONTGOMERY,2020,4327,8411,35.3325,-79.9055
MOORE,2020,20779,36764,35.3106,-79.4814
NASH,2020,25947,25827,35.9673,-77.9864
NEW HANOVER,2020,66138,63331,34.2328,-77.8847
NORTHAMPTON,2020,6069,3989,36.4178,-77.3969
ONSLOW,2020,24266,46078,34.7321,-77.4321
ORANGE,2020,63594,20176,36.0611,-79.1207
PAMLICO,2020,2713,4849,35.1435,-76.7407
PASQUOTANK,2020,9832,9770,36.2955,-76.284
PENDER,2020,11723,21956,34.5248,-77.9051
PERQUIMANS,2020,2492,4903,36.2059,-76.4411
PERSON,2020,8465,13184,36.39,-78.9718
PITT,2020,47252,38982,35.5933,-77.3745
POLK,2020,4518,7689,35.2793,-82.1697
RANDOLPH,2020,15618,56894,35.7103,-79.806
RICHMOND,2020,8754,11830,35.0059,-79.7479
ROBESON,2020,19020,27806,34.6402,-79.1039
ROCKINGHAM,2020,15992,31301,36.396,-79.775
ROWAN,2020,23114,49297,35.6394,-80.5247
RUTHERFORD,2020,9135,24891,35.4026,-81.9198
SAMPSON,2020,10966,17411,34.9916,-78.3714
SCOTLAND,2020,7186,7473,34.8409,-79.4804
STANLY,2020,8129,25458,35.3119,-80.251
STOKES,2020,5286,20142,36.4019,-80.2397
SURRY,2020,8721,27538,36.4146,-80.688
SWAIN,2020,2780,4161,35.4868,-83.4928
TRANSYLVANIA,2020,8444,11636,35.2021,-82.7982
TYRRELL,2020,758,1044,35.8172,-76.209
UNION,2020,48725,80382,34.9884,-80.5307
VANCE,2020,12431,8391,36.3649,-78.4079
WAKE,2020,393336,226197,35.7903,-78.6503
WARREN,2020,6400,3752,36.3965,-78.1067
WASHINGTON,2020,3396,2781,35.8226,-76.5775
WATAUGA,2020,17122,14451,36.2311,-81.6964
WAYNE,2020,24215,30709,35.364,-78.004
WILKES,2020,7511,27592,36.2062,-81.163
WILSON,2020,20754,19581,35.7051,-77.9187
YADKIN,2020,3763,15933,36.1605,-80.6652
YANCEY,2020,3688,7516,35.8989,-82.3076
