County,Year,Votes_DEM,Votes_REP,Lat,Long
CHOWAN,2004,2406,2967,36.1508,-76.6079
CLAY,2004,1628,3209,35.0572,-83.7502
CLEVELAND,2004,14215,22750,35.3341,-81.5555
COLUMBUS,2004,10343,10773,34.2656,-78.655
CRAVEN,2004,14019,23575,35.1249,-77.0939
CUMBERLAND,2004,45788,49139,35.0487,-78.8277
CURRITUCK,2004,2909,6013,36.4031,-76.0059
DARE,2004,6136,9345,35.7805,-75.7982
DAVIDSON,2004,17191,42075,35.7933,-80.2128
DAVIE,2004,4233,12372,35.9291,-80.5445
DUPLIN,2004,6923,9611,34.9365,-77.933
DURHAM,2004,74524,34614,36.036,-78.8766
EDGECOMBE,2004,12877,8163,35.9129,-77.5971
FORSYTH,2004,63340,75294,36.1306,-80.2563
FRANKLIN,2004,9286,11540,36.0827,-78.2857
GASTON,2004,20254,43252,35.2944,-81.1803
GATES,2004,2121,1924,36.4449,-76.7005
GRAHAM,2004,1272,2693,35.3502,-83.8335
GRANVILLE,2004,9057,9491,36.304,-78.6527
GREENE,2004,2665,3800,35.485,-77.6758
GUILFORD,2004,100042,98254,36.0795,-79.7889
HALIFAX,2004,11528,8088,36.2574,-77.6517
HARNETT,2004,11563,20922,35.3688,-78.8693
HAYWOOD,2004,11237,14545,35.556,-82.9822
HENDERSON,2004,15003,28025,35.3363,-82.48
HERTFORD,2004,5141,2942,36.3591,-76.982
HOKE,2004,5794,5257,35.0175,-79.2373
HYDE,2004,1048,1235,35.5305,-76.2509
IREDELL,2004,18065,38675,35.8071,-80.8734
JACKSON,2004,6737,7351,35.2876,-83.1408
JOHNSTON,2004,17266,36903,35.5178,-78.3657
JONES,2004,1893,2607,35.0217,-77.3552
LEE,2004,7657,11834,35.4752,-79.1715
LENOIR,2004,10207,12939,35.2388,-77.6412
LINCOLN,2004,9434,20052,35.4856,-81.2235
MACON,2004,5489,9448,35.1505,-83.4222
MADISON,2004,4234,5175,35.858,-82.7058
MARTIN,2004,5102,5334,35.8432,-77.1092
MCDOWELL,2004,5330,10590,35.6817,-82.0493
MECKLENBURG,2004,166828,155084,35.2467,-80.8328
MITCHELL,2004,2080,5686,36.0133,-82.1636
MONTGOMERY,2004,4313,5745,35.3325,-79.9055
MOORE,2004,13555,24714,35.3106,-79.4814
NASH,2004,15693,21902,35.9673,-77.9864
NEW HANOVER,2004,35572,45351,34.2328,-77.8847
NORTHAMPTON,2004,5584,3176,36.4178,-77.3969
ONSLOW,2004,11250,25890,34.7321,-77.4321
ORANGE,2004,42910,20771,36.0611,-79.1207
PAMLICO,2004,2335,3679,35.1435,-76.7407
PASQUOTANK,2004,6984,6609,36.2955,-76.284
PENDER,2004,6999,10037,34.5248,-77.9051
PERQUIMANS,2004,1971,2965,36.2059,-76.4411
PERSON,2004,6198,8973,36.39,-78.9718
PITT,2004,24924,28590,35.5933,-77.3745
POLK,2004,3787,5140,35.2793,-82.1697
RANDOLPH,2004,12966,37771,35.7103,-79.806
RICHMOND,2004,8383,7709,35.0059,-79.7479
ROBESON,2004,17868,15909,34.6402,-79.1039
ROCKINGHAM,2004,14430,22840,36.396,-79.775
ROWAN,2004,16735,34915,35.6394,-80.5247
RUTHERFORD,2004,8184,16343,35.4026,-81.9198
SAMPSON,2004,9649,12600,34.9916,-78.3714
SCOTLAND,2004,6386,5141,34.8409,-79.4804
STANLY,2004,7650,17814,35.3119,-80.251
STOKES,2004,5767,13583,36.4019,-80.2397
SURRY,2004,8304,17587,36.4146,-80.688
SWAIN,2004,2419,2593,35.4868,-83.4928
TRANSYLVANIA,2004,6097,9386,35.2021,-82.7982
TYRRELL,2004,731,855,35.8172,-76.209
UNION,2004,17974,42820,34.9884,-80.5307
VANCE,2004,8762,6884,36.3649,-78.4079
WAKE,2004,169909,177324,35.7903,-78.6503
WARREN,2004,5171,2840,36.3965,-78.1067
WASHINGTON,2004,2969,2484,35.8226,-76.5775
WATAUGA,2004,11232,12659,36.2311,-81.6964
WAYNE,2004,15076,24883,35.364,-78.004
WILKES,2004,7862,19197,36.2062,-81.163
WILSON,2004,14206,16264,35.7051,-77.9187
YADKIN,2004,3451,11816,36.1605,-80.6652
YANCEY,2004,4434,4940,35.8989,-82.3076
ALAMANCE,2008,28918,34859,36.0117,-79.4254
ALEXANDER,2008,5167,11790,35.921,-81.177
ALLEGHANY,2008,2021,3124,36.4916,-81.1271
ANSON,2008,6456,4207,34.9738,-80.1027
ASHE,2008,4872,7916,36.4341,-81.5003
AVERY,2008,2178,5681,36.0765,-81.9226
BEAUFORT,2008,9454,13460,35.494,-76.8598
BERTIE,2008,6365,3376,36.0662,-76.9787
BLADEN,2008,7853,7532,34.6146,-78.5637
BRUNSWICK,2008,21331,30753,34.071,-78.2377
BUNCOMBE,2008,69716,52494,35.6112,-82.5301
BURKE,2008,14901,22102,35.7496,-81.7048
CABARRUS,2008,31546,45924,35.3868,-80.5519
CALDWELL,2008,12081,22526,35.953,-81.5464
CAMDEN,2008,1597,3140,36.3877,-76.2064
CARTERET,2008,11130,23131,34.8357,-76.6589
CASWELL,2008,5545,5208,36.3932,-79.3335
CATAWBA,2008,25656,42993,35.662,-81.2151
CHATHAM,2008,17862,14668,35.7026,-79.2553
CHEROKEE,2008,3785,8643,35.1339,-84.0635
CHOWAN,2008,3688,3773,36.1508,-76.6079
CLAY,2008,1734,3707,35.0572,-83.7502
CLEVELAND,2008,17363,26078,35.3341,-81.5555
COLUMBUS,2008,11076,12994,34.2656,-78.655
CRAVEN,2008,19352,24901,35.1249,-77.0939
CUMBERLAND,2008,74693,52151,35.0487,-78.8277
CURRITUCK,2008,3737,7234,36.4031,-76.0059
DARE,2008,8074,9745,35.7805,-75.7982
DAVIDSON,2008,22433,45419,35.7933,-80.2128
DAVIE,2008,6178,13981,35.9291,-80.5445
DUPLIN,2008,8958,10834,34.9365,-77.933
DURHAM,2008,103456,32353,36.036,-78.8766
EDGECOMBE,2008,17403,8445,35.9129,-77.5971
FORSYTH,2008,91085,73674,36.1306,-80.2563
FRANKLIN,2008,13085,13273,36.0827,-78.2857
GASTON,2008,31384,52507,35.2944,-81.1803
GATES,2008,2830,2547,36.4449,-76.7005
GRAHAM,2008,1265,2824,35.3502,-83.8335
GRANVILLE,2008,13074,11447,36.304,-78.6527
GREENE,2008,3796,4272,35.485,-77.6758
GUILFORD,2008,142101,97718,36.0795,-79.7889
HALIFAX,2008,16047,8961,36.2574,-77.6517
HARNETT,2008,16785,23579,35.3688,-78.8693
HAYWOOD,2008,12730,14910,35.556,-82.9822
HENDERSON,2008,20082,30930,35.3363,-82.48
HERTFORD,2008,7513,3089,36.3591,-76.982
HOKE,2008,9227,6293,35.0175,-79.2373
HYDE,2008,1241,1212,35.5305,-76.2509
IREDELL,2008,27318,45148,35.8071,-80.8734
JACKSON,2008,8766,7854,35.2876,-83.1408
JOHNSTON,2008,26795,43622,35.5178,-78.3657
JONES,2008,2378,2817,35.0217,-77.3552
LEE,2008,10784,12775,35.4752,-79.1715
LENOIR,2008,13378,13401,35.2388,-77.6412
LINCOLN,2008,11713,23631,35.4856,-81.2235
MACON,2008,6620,10317,35.1505,-83.4222
MADISON,2008,5026,5192,35.858,-82.7058
MARTIN,2008,6539,5957,35.8432,-77.1092
MCDOWELL,2008,6571,11534,35.6817,-82.0493
MECKLENBURG,2008,253958,153848,35.2467,-80.8328
MITCHELL,2008,2238,5499,36.0133,-82.1636
MONTGOMERY,2008,4926,6155,35.3325,-79.9055
MOORE,2008,17624,27314,35.3106,-79.4814
NASH,2008,23099,23728,35.9673,-77.9864
NEW HANOVER,2008,49145,50544,34.2328,-77.8847
NORTHAMPTON,2008,6903,3671,36.4178,-77.3969
ONSLOW,2008,19499,30278,34.7321,-77.4321
ORANGE,2008,53806,20266,36.0611,-79.1207
PAMLICO,2008,2838,3823,35.1435,-76.7407
PASQUOTANK,2008,10272,7778,36.2955,-76.284
PENDER,2008,9907,13618,34.5248,-77.9051
PERQUIMANS,2008,2772,3678,36.2059,-76.4411
PERSON,2008,8446,10030,36.39,-78.9718
PITT,2008,40501,33927,35.5933,-77.3745
POLK,2008,4396,5990,35.2793,-82.1697
RANDOLPH,2008,16414,40998,35.7103,-79.806
RICHMOND,2008,9713,9424,35.0059,-79.7479
ROBESON,2008,23058,17433,34.6402,-79.1039
ROCKINGHAM,2008,17255,23899,36.396,-79.775
ROWAN,2008,23391,37451,35.6394,-80.5247
RUTHERFORD,2008,9641,18769,35.4026,-81.9198
SAMPSON,2008,11836,14038,34.9916,-78.3714
SCOTLAND,2008,8151,6005,34.8409,-79.4804
STANLY,2008,8878,19329,35.3119,-80.251
STOKES,2008,6875,14488,36.4019,-80.2397
SURRY,2008,10475,18730,36.4146,-80.688
SWAIN,2008,2806,2900,35.4868,-83.4928
TRANSYLVANIA,2008,7275,9401,35.2021,-82.7982
TYRRELL,2008,933,960,35.8172,-76.209
UNION,2008,31189,54123,34.9884,-80.5307
VANCE,2008,13166,7606,36.3649,-78.4079
WAKE,2008,250891,187001,35.7903,-78.6503
WARREN,2008,7086,3063,36.3965,-78.1067
WASHINGTON,2008,3748,2670,35.8226,-76.5775
WATAUGA,2008,14558,13344,36.2311,-81.6964
WAYNE,2008,22671,26952,35.364,-78.004
WILKES,2008,8934,20288,36.2062,-81.163
WILSON,2008,19652,17375,35.7051,-77.9187
YADKIN,2008,4527,12409,36.1605,-80.6652
YANCEY,2008,4486,5045,35.8989,-82.3076
ALAMANCE,2012,28875,38170,36.0117,-79.4254
ALEXANDER,2012,4611,12253,35.921,-81.177
ALLEGHANY,2012,1583,3390,36.4916,-81.1271
ANSON,2012,7019,4166,34.9738,-80.1027
ASHE,2012,4116,8242,36.4341,-81.5003
AVERY,2012,1882,5766,36.0765,-81.9226
BEAUFORT,2012,9435,13977,35.494,-76.8598
BERTIE,2012,6695,3387,36.0662,-76.9787
BLADEN,2012,8062,7748,34.6146,-78.5637
BRUNSWICK,2012,22038,34743,34.071,-78.2377
BUNCOMBE,2012,70625,54701,35.6112,-82.5301
BURKE,2012,13701,22267,35.7496,-81.7048
CABARRUS,2012,32849,49557,35.3868,-80.5519
CALDWELL,2012,10898,23229,35.953,-81.5464
CAMDEN,2012,1508,3109,36.3877,-76.2064
CARTERET,2012,10301,24775,34.8357,-76.6589
CASWELL,2012,5348,5594,36.3932,-79.3335
CATAWBA,2012,24069,44538,35.662,-81.2151
CHATHAM,2012,18361,16665,35.7026,-79.2553
CHEROKEE,2012,3378,9278,35.1339,-84.0635
CHOWAN,2012,3556,3891,36.1508,-76.6079
CLAY,2012,1579,3973,35.0572,-83.7502
CLEVELAND,2012,17062,25793,35.3341,-81.5555
COLUMBUS,2012,11050,12941,34.2656,-78.655
CRAVEN,2012,18763,26928,35.1249,-77.0939
CUMBERLAND,2012,75792,50666,35.0487,-78.8277
CURRITUCK,2012,3562,7496,36.4031,-76.0059
DARE,2012,7393,10248,35.7805,-75.7982
DAVIDSON,2012,20624,49383,35.7933,-80.2128
DAVIE,2012,5735,14687,35.9291,-80.5445
DUPLIN,2012,9033,11416,34.9365,-77.933
DURHAM,2012,111224,33769,36.036,-78.8766
EDGECOMBE,2012,18310,8546,35.9129,-77.5971
FORSYTH,2012,92323,79768,36.1306,-80.2563
FRANKLIN,2012,13436,14603,36.0827,-78.2857
GASTON,2012,33171,56138,35.2944,-81.1803
GATES,2012,2786,2564,36.4449,-76.7005
GRAHAM,2012,1119,2750,35.3502,-83.8335
GRANVILLE,2012,13598,12405,36.304,-78.6527
GREENE,2012,3778,4411,35.485,-77.6758
GUILFORD,2012,146365,104789,36.0795,-79.7889
HALIFAX,2012,17176,8763,36.2574,-77.6517
HARNETT,2012,17331,25565,35.3688,-78.8693
HAYWOOD,2012,11833,15633,35.556,-82.9822
HENDERSON,2012,18642,32994,35.3363,-82.48
HERTFORD,2012,7843,3007,36.3591,-76.982
HOKE,2012,10076,6819,35.0175,-79.2373
HYDE,2012,1163,1193,35.5305,-76.2509
IREDELL,2012,26076,49299,35.8071,-80.8734
JACKSON,2012,8095,8254,35.2876,-83.1408
JOHNSTON,2012,27290,48427,35.5178,-78.3657
JONES,2012,2352,2837,35.0217,-77.3552
LEE,2012,10801,13158,35.4752,-79.1715
LENOIR,2012,13948,13980,35.2388,-77.6412
LINCOLN,2012,11024,25267,35.4856,-81.2235
MACON,2012,5712,10835,35.1505,-83.4222
MADISON,2012,4484,5404,35.858,-82.7058
MARTIN,2012,6583,5995,35.8432,-77.1092
MCDOWELL,2012,6031,11775,35.6817,-82.0493
MECKLENBURG,2012,272262,171668,35.2467,-80.8328
MITCHELL,2012,1838,5806,36.0133,-82.1636
MONTGOMERY,2012,4706,6404,35.3325,-79.9055
MOORE,2012,16505,29495,35.3106,-79.4814
NASH,2012,24313,23842,35.9673,-77.9864
NEW HANOVER,2012,48668,53385,34.2328,-77.8847
NORTHAMPTON,2012,7232,3483,36.4178,-77.3969
ONSLOW,2012,18490,32243,34.7321,-77.4321
ORANGE,2012,53901,21539,36.0611,-79.1207
PAMLICO,2012,2647,4051,35.1435,-76.7407
PASQUOTANK,2012,10282,7633,36.2955,-76.284
PENDER,2012,9632,14617,34.5248,-77.9051
PERQUIMANS,2012,2759,3822,36.2059,-76.4411
PERSON,2012,8418,10496,36.39,-78.9718
PITT,2012,41843,36214,35.5933,-77.3745
POLK,2012,4013,6236,35.2793,-82.1697
RANDOLPH,2012,14773,45160,35.7103,-79.806
RICHMOND,2012,9904,9332,35.0059,-79.7479
ROBESON,2012,24988,17510,34.6402,-79.1039
ROCKINGHAM,2012,16351,25227,36.396,-79.775
ROWAN,2012,22650,38775,35.6394,-80.5247
RUTHERFORD,2012,9374,18954,35.4026,-81.9198
SAMPSON,2012,11566,14422,34.9916,-78.3714
SCOTLAND,2012,8215,5831,34.8409,-79.4804
STANLY,2012,8431,19904,35.3119,-80.251
STOKES,2012,6018,15237,36.4019,-80.2397
SURRY,2012,9112,19923,36.4146,-80.688
SWAIN,2012,2618,2976,35.4868,-83.4928
TRANSYLVANIA,2012,6826,9634,35.2021,-82.7982
TYRRELL,2012,837,930,35.8172,-76.209
UNION,2012,32473,61107,34.9884,-80.5307
VANCE,2012,13323,7429,36.3649,-78.4079
WAKE,2012,267262,211596,35.7903,-78.6503
WARREN,2012,6978,3140,36.3965,-78.1067
WASHINGTON,2012,3833,2622,35.8226,-76.5775
WATAUGA,2012,13002,13861,36.2311,-81.6964
WAYNE,2012,23314,27641,35.364,-78.004
WILKES,2012,8148,20515,36.2062,-81.163
WILSON,2012,20875,17954,35.7051,-77.9187
YADKIN,2012,3957,12578,36.1605,-80.6652
YANCEY,2012,3981,5278,35.8989,-82.3076
ALAMANCE,2016,29833,38815,36.0117,-79.4254
ALEXANDER,2016,3767,13893,35.921,-81.177
ALLEGHANY,2016,1306,3814,36.4916,-81.1271
ANSON,2016,5859,4506,34.9738,-80.1027
ASHE,2016,3500,9412,36.4341,-81.5003
AVERY,2016,1689,6298,36.0765,-81.9226
BEAUFORT,2016,8764,14543,35.494,-76.8598
BERTIE,2016,5778,3456,36.0662,-76.9787
BLADEN,2016,7058,8550,34.6146,-78.5637
BRUNSWICK,2016,23282,42720,34.071,-78.2377
BUNCOMBE,2016,75452,55716,35.6112,-82.5301
BURKE,2016,11251,26238,35.7496,-81.7048
CABARRUS,2016,35521,53819,35.3868,-80.5519
CALDWELL,2016,8425,26621,35.953,-81.5464
CAMDEN,2016,1274,3546,36.3877,-76.2064
CARTERET,2016,9939,26569,34.8357,-76.6589
CASWELL,2016,4792,6026,36.3932,-79.3335
CATAWBA,2016,21216,48324,35.662,-81.2151
CHATHAM,2016,21065,17105,35.7026,-79.2553
CHEROKEE,2016,2860,10844,35.1339,-84.0635
CHOWAN,2016,2992,4014,36.1508,-76.6079
CLAY,2016,1367,4437,35.0572,-83.7502
CLEVELAND,2016,14964,28479,35.3341,-81.5555
COLUMBUS,2016,9063,14272,34.2656,-78.655
CRAVEN,2016,17630,27731,35.1249,-77.0939
CUMBERLAND,2016,71605,51265,35.0487,-78.8277
CURRITUCK,2016,2913,9163,36.4031,-76.0059
DARE,2016,7222,11460,35.7805,-75.7982
DAVIDSON,2016,18109,54317,35.7933,-80.2128
DAVIE,2016,5270,15602,35.9291,-80.5445
DUPLIN,2016,8283,12217,34.9365,-77.933
DURHAM,2016,121250,28350,36.036,-78.8766
EDGECOMBE,2016,16224,8261,35.9129,-77.5971
FORSYTH,2016,94464,75975,36.1306,-80.2563
FRANKLIN,2016,12874,16368,36.0827,-78.2857
GASTON,2016,31177,61798,35.2944,-81.1803
GATES,2016,2385,2874,36.4449,-76.7005
GRAHAM,2016,768,3283,35.3502,-83.8335
GRANVILLE,2016,12909,13591,36.304,-78.6527
GREENE,2016,3605,4374,35.485,-77.6758
GUILFORD,2016,149248,98062,36.0795,-79.7889
HALIFAX,2016,15748,9031,36.2574,-77.6517
HARNETT,2016,16737,27614,35.3688,-78.8693
HAYWOOD,2016,10473,18929,35.556,-82.9822
HENDERSON,2016,19827,35809,35.3363,-82.48
HERTFORD,2016,6910,3099,36.3591,-76.982
HOKE,2016,9726,7760,35.0175,-79.2373
HYDE,2016,965,1288,35.5305,-76.2509
IREDELL,2016,24734,54754,35.8071,-80.8734
JACKSON,2016,7713,9870,35.2876,-83.1408
JOHNSTON,2016,28362,54372,35.5178,-78.3657
JONES,2016,2065,2974,35.0217,-77.3552
LEE,2016,10469,13712,35.4752,-79.1715
LENOIR,2016,12634,13613,35.2388,-77.6412
LINCOLN,2016,9897,28806,35.4856,-81.2235
MACON,2016,4876,12127,35.1505,-83.4222
MADISON,2016,3926,6783,35.858,-82.7058
MARTIN,2016,5846,5897,35.8432,-77.1092
MCDOWELL,2016,4667,14568,35.6817,-82.0493
MECKLENBURG,2016,294562,155518,35.2467,-80.8328
MITCHELL,2016,1596,6282,36.0133,-82.1636
MONTGOMERY,2016,4150,7130,35.3325,-79.9055
MOORE,2016,16329,30490,35.3106,-79.4814
NASH,2016,23235,23319,35.9673,-77.9864
NEW HANOVER,2016,50979,55344,34.2328,-77.8847
NORTHAMPTON,2016,6144,3582,36.4178,-77.3969
ONSLOW,2016,17514,37122,34.7321,-77.4321
ORANGE,2016,59923,18557,36.0611,-79.1207
PAMLICO,2016,2448,4258,35.1435,-76.7407
PASQUOTANK,2016,8615,8180,36.2955,-76.284
PENDER,2016,9354,17639,34.5248,-77.9051
PERQUIMANS,2016,2319,4177,36.2059,-76.4411
PERSON,2016,7833,11185,36.39,-78.9718
PITT,2016,41824,35691,35.5933,-77.3745
