County,Choice_Party,Total_Votes,Year
YADKIN,REP,10435,2000
YANCEY,DEM,3714,2000
YANCEY,REP,4970,2000
ALAMANCE,DEM,28918,2008
ALAMANCE,REP,34859,2008
ALEXANDER,DEM,5167,2008
ALEXANDER,REP,11790,2008
ALLEGHANY,DEM,2021,2008
ALLEGHANY,REP,3124,2008
ANSON,DEM,6456,2008
ANSON,REP,4207,2008
ASHE,DEM,4872,2008
ASHE,REP,7916,2008
AVERY,DEM,2178,2008
AVERY,REP,5681,2008
BEAUFORT,DEM,9454,2008
BEAUFORT,REP,13460,2008
BERTIE,DEM,6365,2008
BERTIE,REP,3376,2008
BLADEN,DEM,7853,2008
BLADEN,REP,7532,2008
BRUNSWICK,DEM,21331,2008
BRUNSWICK,REP,30753,2008
BUNCOMBE,DEM,69716,2008
BUNCOMBE,REP,52494,2008
BURKE,DEM,14901,2008
BURKE,REP,22102,2008
CABARRUS,DEM,31546,2008
CABARRUS,REP,45924,2008
CALDWELL,DEM,12081,2008
CALDWELL,REP,22526,2008
CAMDEN,DEM,1597,2008
CAMDEN,REP,3140,2008
CARTERET,DEM,11130,2008
CARTERET,REP,23131,2008
CASWELL,DEM,5545,2008
CASWELL,REP,5208,2008
CATAWBA,DEM,25656,2008
CATAWBA,REP,42993,2008
CHATHAM,DEM,17862,2008
CHATHAM,REP,14668,2008
CHEROKEE,DEM,3785,2008
CHEROKEE,REP,8643,2008
CHOWAN,DEM,3688,2008
CHOWAN,REP,3773,2008
CLAY,DEM,1734,2008
CLAY,REP,3707,2008
CLEVELAND,DEM,17363,2008
CLEVELAND,REP,26078,2008
COLUMBUS,DEM,11076,2008
COLUMBUS,REP,12994,2008
CRAVEN,DEM,19352,2008
CRAVEN,REP,24901,2008
CUMBERLAND,DEM,74693,2008
CUMBERLAND,REP,52151,2008
CURRITUCK,DEM,3737,2008
CURRITUCK,REP,7234,2008
DARE,DEM,8074,2008
DARE,REP,9745,2008
DAVIDSON,DEM,22433,2008
DAVIDSON,REP,45419,2008
DAVIE,DEM,6178,2008
DAVIE,REP,13981,2008
DUPLIN,DEM,8958,2008
DUPLIN,REP,10834,2008
DURHAM,DEM,103456,2008
DURHAM,REP,32353,2008
EDGECOMBE,DEM,17403,2008
EDGECOMBE,REP,8445,2008
FORSYTH,DEM,91085,2008
FORSYTH,REP,73674,2008
FRANKLIN,DEM,13085,2008
FRANKLIN,REP,13273,2008
GASTON,DEM,31384,2008
GASTON,REP,52507,2008
GATES,DEM,2830,2008
GATES,REP,2547,2008
GRAHAM,DEM,1265,2008
GRAHAM,REP,2824,2008
GRANVILLE,DEM,13074,2008
GRANVILLE,REP,11447,2008
GREENE,DEM,3796,2008
GREENE,REP,4272,2008
GUILFORD,DEM,142101,2008
GUILFORD,REP,97718,2008
HALIFAX,DEM,16047,2008
HALIFAX,REP,8961,2008
HARNETT,DEM,16785,2008
HARNETT,REP,23579,2008
HAYWOOD,DEM,12730,2008
HAYWOOD,REP,14910,2008
HENDERSON,DEM,20082,2008
HENDERSON,REP,30930,2008
HERTFORD,DEM,7513,2008
HERTFORD,REP,3089,2008
HOKE,DEM,9227,2008
HOKE,REP,6293,2008
HYDE,DEM,1241,2008
HYDE,REP,1212,2008
IREDELL,DEM,27318,2008
IREDELL,REP,45148,2008
JACKSON,DEM,8766,2008
JACKSON,REP,7854,2008
JOHNSTON,DEM,26795,2008
JOHNSTON,REP,43622,2008
JONES,DEM,2378,2008
JONES,REP,2817,2008
LEE,DEM,10784,2008
LEE,REP,12775,2008
LENOIR,DEM,13378,2008
LENOIR,REP,13401,2008
LINCOLN,DEM,11713,2008
LINCOLN,REP,23631,2008
MACON,DEM,6620,2008
MACON,REP,10317,2008
MADISON,DEM,5026,2008
