County,Choice_Party,Total_Votes,Year
DURHAM,DEM,144688,2020
DURHAM,REP,32459,2020
EDGECOMBE,DEM,16089,2020
EDGECOMBE,REP,9206,2020
FORSYTH,DEM,113033,2020
FORSYTH,REP,85064,2020
FRANKLIN,DEM,15879,2020
FRANKLIN,REP,20901,2020
GASTON,DEM,40959,2020
GASTON,REP,73033,2020
GATES,DEM,2546,2020
GATES,REP,3367,2020
GRAHAM,DEM,905,2020
GRAHAM,REP,3710,2020
GRANVILLE,DEM,14565,2020
GRANVILLE,REP,16647,2020
GREENE,DEM,3832,2020
GREENE,REP,4874,2020
GUILFORD,DEM,173086,2020
GUILFORD,REP,107294,2020
HALIFAX,DEM,15545,2020
HALIFAX,REP,10080,2020
HARNETT,DEM,22093,2020
HARNETT,REP,35177,2020
HAYWOOD,DEM,13144,2020
HAYWOOD,REP,22834,2020
HENDERSON,DEM,27211,2020
HENDERSON,REP,40032,2020
HERTFORD,DEM,7097,2020
HERTFORD,REP,3479,2020
HOKE,DEM,11804,2020
HOKE,REP,9453,2020
HYDE,DEM,1046,2020
HYDE,REP,1418,2020
IREDELL,DEM,33888,2020
IREDELL,REP,67010,2020
JACKSON,DEM,9591,2020
JACKSON,REP,11356,2020
JOHNSTON,DEM,41257,2020
JOHNSTON,REP,68353,2020
JONES,DEM,2197,2020
JONES,REP,3280,2020
LEE,DEM,12143,2020
LEE,REP,16469,2020
LENOIR,DEM,13605,2020
LENOIR,REP,14590,2020
LINCOLN,DEM,13274,2020
LINCOLN,REP,36341,2020
MACON,DEM,6230,2020
MACON,REP,14211,2020
MADISON,DEM,4901,2020
MADISON,REP,7979,2020
MARTIN,DEM,5911,2020
MARTIN,REP,6532,2020
MCDOWELL,DEM,5832,2020
MCDOWELL,REP,16883,2020
MECKLENBURG,DEM,378107,2020
MECKLENBURG,REP,179211,2020
MITCHELL,DEM,1867,2020
MITCHELL,REP,7090,2020
MONTGOMERY,DEM,4327,2020
MONTGOMERY,REP,8411,2020
MOORE,DEM,20779,2020
MOORE,REP,36764,2020
NASH,DEM,25947,2020
NASH,REP,25827,2020
NEW HANOVER,DEM,66138,2020
NEW HANOVER,REP,63331,2020
NORTHAMPTON,DEM,6069,2020
NORTHAMPTON,REP,3989,2020
ONSLOW,DEM,24266,2020
ONSLOW,REP,46078,2020
ORANGE,DEM,63594,2020
ORANGE,REP,20176,2020
PAMLICO,DEM,2713,2020
PAMLICO,REP,4849,2020
PASQUOTANK,DEM,9832,2020
PASQUOTANK,REP,9770,2020
PENDER,DEM,11723,2020
PENDER,REP,21956,2020
PERQUIMANS,DEM,2492,2020
PERQUIMANS,REP,4903,2020
PERSON,DEM,8465,2020
PERSON,REP,13184,2020
PITT,DEM,47252,2020
PITT,REP,38982,2020
POLK,DEM,4518,2020
POLK,REP,7689,2020
RANDOLPH,DEM,15618,2020
RANDOLPH,REP,56894,2020
RICHMOND,DEM,8754,2020
RICHMOND,REP,11830,2020
ROBESON,DEM,19020,2020
ROBESON,REP,27806,2020
ROCKINGHAM,DEM,15992,2020
ROCKINGHAM,REP,31301,2020
ROWAN,DEM,23114,2020
ROWAN,REP,49297,2020
RUTHERFORD,DEM,9135,2020
RUTHERFORD,REP,24891,2020
SAMPSON,DEM,10966,2020
SAMPSON,REP,17411,2020
SCOTLAND,DEM,7186,2020
SCOTLAND,REP,7473,2020
STANLY,DEM,8129,2020
STANLY,REP,25458,2020
STOKES,DEM,5286,2020
STOKES,REP,20142,2020
SURRY,DEM,8721,2020
SURRY,REP,27538,2020
SWAIN,DEM,2780,2020
SWAIN,REP,4161,2020
TRANSYLVANIA,DEM,8444,2020
TRANSYLVANIA,REP,11636,2020
TYRRELL,DEM,758,2020
TYRRELL,REP,1044,2020
UNION,DEM,48725,2020
UNION,REP,80382,2020
VANCE,DEM,12431,2020
VANCE,REP,8391,2020
WAKE,DEM,393336,2020
WAKE,REP,226197,2020
WARREN,DEM,6400,2020
WARREN,REP,3752,2020
WASHINGTON,DEM,3396,2020
WASHINGTON,REP,2781,2020
WATAUGA,DEM,17122,2020
WATAUGA,REP,14451,2020
WAYNE,DEM,24215,2020
WAYNE,REP,30709,2020
WILKES,DEM,7511,2020
WILKES,REP,27592,2020
WILSON,DEM,20754,2020
WILSON,REP,19581,2020
YADKIN,DEM,3763,2020
YADKIN,REP,15933,2020
YANCEY,DEM,3688,2020
YANCEY,REP,7516,2020
