County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
MCDOWELL,2000,4747,9109,35.6817,-82.0493,44578,0.10648750504733276,0.20433846291892863
MECKLENBURG,2000,126911,134068,35.2467,-80.8328,1115482,0.1137723423596257,0.12018840286082608
MITCHELL,2000,1535,4984,36.0133,-82.1636,14903,0.10299939609474602,0.33442930953499295
MONTGOMERY,2000,3979,4946,35.3325,-79.9055,25751,0.15451827113510155,0.19207021086559745
MOORE,2000,11174,19822,35.3106,-79.4814,99727,0.1120458852667783,0.1987626219579452
NASH,2000,12376,17995,35.9673,-77.9864,94970,0.13031483626408338,0.18948088870169527
NEW HANOVER,2000,29292,36503,34.2328,-77.8847,225702,0.12978174761411065,0.16173095497603035
NORTHAMPTON,2000,5513,2667,36.4178,-77.3969,17471,0.31555148531852784,0.1526529677751703
ONSLOW,2000,10269,19657,34.7321,-77.4321,204576,0.05019650398873768,0.09608653996558736
ORANGE,2000,30921,17930,36.0611,-79.1207,148696,0.20794775918652822,0.12058158928283208
PAMLICO,2000,2188,2999,35.1435,-76.7407,12276,0.1782339524275008,0.24429781687846203
PASQUOTANK,2000,5874,4943,36.2955,-76.284,40568,0.1447939262472885,0.12184480378623545
PENDER,2000,6415,7661,34.5248,-77.9051,60203,0.10655615168679301,0.12725279471122702
PERQUIMANS,2000,2033,2230,36.2059,-76.4411,13005,0.15632449058054596,0.1714725105728566
PERSON,2000,5042,6722,36.39,-78.9718,39097,0.1289613013786224,0.17193135023147557
PITT,2000,19685,23192,35.5933,-77.3745,170243,0.11562883642792948,0.136228802358981
POLK,2000,3114,5074,35.2793,-82.1697,19328,0.1611134105960265,0.2625206953642384
RANDOLPH,2000,11366,30959,35.7103,-79.806,144171,0.07883693669323234,0.21473805411629246
RICHMOND,2000,7935,6263,35.0059,-79.7479,42946,0.18476691659293065,0.14583430354398547
ROBESON,2000,17834,11721,34.6402,-79.1039,116530,0.15304213507251352,0.10058354071912812
ROCKINGHAM,2000,13260,18979,36.396,-79.775,91096,0.1455607271449899,0.20834065162026874
ROWAN,2000,14891,28922,35.6394,-80.5247,146875,0.10138553191489362,0.19691574468085107
RUTHERFORD,2000,7697,13755,35.4026,-81.9198,64444,0.11943703060021103,0.21344112718018746
SAMPSON,2000,8768,10410,34.9916,-78.3714,59036,0.14851954739480994,0.17633308489735078
SCOTLAND,2000,5627,3740,34.8409,-79.4804,34174,0.16465734183882483,0.10943992508924914
STANLY,2000,7066,15548,35.3119,-80.251,62504,0.11304876487904775,0.24875207986688852
STOKES,2000,5030,12028,36.4019,-80.2397,44520,0.11298292902066487,0.2701707097933513
SURRY,2000,7757,15401,36.4146,-80.688,71359,0.10870387757675977,0.2158242127832509
SWAIN,2000,2097,2224,35.4868,-83.4928,14117,0.1485443082807962,0.15754055394205568
TRANSYLVANIA,2000,5044,9011,35.2021,-82.7982,32986,0.1529133571818347,0.27317649912083913
TYRRELL,2000,849,706,35.8172,-76.209,3245,0.26163328197226504,0.21756548536209552
UNION,2000,14890,31876,34.9884,-80.5307,238267,0.0624929176092367,0.13378268916803418
VANCE,2000,7092,5564,36.3649,-78.4079,42578,0.1665648926675748,0.1306778148339518
WAKE,2000,123466,142494,35.7903,-78.6503,1129393,0.10932067048405648,0.12616865873969468
WARREN,2000,4576,2202,36.3965,-78.1067,18642,0.24546722454672246,0.11812037335049887
WASHINGTON,2000,2704,2169,35.8226,-76.5775,11003,0.24575115877487957,0.19712805598473143
WATAUGA,2000,7959,10438,36.2311,-81.6964,54086,0.14715453167178197,0.19298894353437118
WAYNE,2000,13005,20758,35.364,-78.004,117333,0.11083838306358824,0.17691527532748672
WILKES,2000,7226,16826,36.2062,-81.163,65969,0.10953629735178645,0.2550591944701299
WILSON,2000,11266,13466,35.7051,-77.9187,78784,0.14299857839155158,0.17092303005686435
YADKIN,2000,3127,10435,36.1605,-80.6652,37214,0.08402751652603858,0.28040522384049016
YANCEY,2000,3714,4970,35.8989,-82.3076,18470,0.20108283703302654,0.26908500270709257
ALAMANCE,2004,20686,33302,36.0117,-79.4254,171415,0.12067788699938745,0.1942770469328822
ALEXANDER,2004,4618,10928,35.921,-81.177,36444,0.12671495993853585,0.2998573153331138
ALLEGHANY,2004,1922,2883,36.4916,-81.1271,10888,0.17652461425422483,0.26478692138133725
ANSON,2004,5413,3796,34.9738,-80.1027,22055,0.24543187485830878,0.17211516662888235
ASHE,2004,4477,7292,36.4341,-81.5003,26577,0.16845392632727546,0.27437257779282836
AVERY,2004,1805,5678,36.0765,-81.9226,17806,0.10137032460968214,0.31888127597439064
BEAUFORT,2004,7025,12432,35.494,-76.8598,44652,0.15732777927080535,0.27841977962913195
BERTIE,2004,4938,3057,36.0662,-76.9787,17934,0.2753429240548678,0.17045834727333556
BLADEN,2004,6109,6174,34.6146,-78.5637,29606,0.20634330878875903,0.20853880970073635
BRUNSWICK,2004,14903,22925,34.071,-78.2377,136694,0.10902453655610342,0.167710360366951
BUNCOMBE,2004,51868,52491,35.6112,-82.5301,269452,0.19249439603343083,0.1948064961477369
BURKE,2004,11728,18922,35.7496,-81.7048,87570,0.13392714399908645,0.21607856571885348
CABARRUS,2004,19803,40780,35.3868,-80.5519,225807,0.08769878701723154,0.1805967042651468
CALDWELL,2004,9999,21186,35.953,-81.5464,80652,0.1239770867430442,0.26268412438625205
CAMDEN,2004,1339,2480,36.3877,-76.2064,10355,0.1293095123128923,0.23949782713664897
CARTERET,2004,7732,17716,34.8357,-76.6589,67686,0.1142333717460036,0.26173802558874804
CASWELL,2004,4539,4868,36.3932,-79.3335,22736,0.1996393384940183,0.214109781843772
CATAWBA,2004,18858,39602,35.662,-81.2151,160610,0.11741485586202603,0.2465724425627296
CHATHAM,2004,12897,12892,35.7026,-79.2553,76285,0.16906338074326538,0.16899783705839944
CHEROKEE,2004,3635,7517,35.1339,-84.0635,28774,0.1263293250851463,0.26124278862862305
CHOWAN,2004,2406,2967,36.1508,-76.6079,13708,0.17551794572512402,0.21644295302013422
CLAY,2004,1628,3209,35.0572,-83.7502,11089,0.14681215619081972,0.2893858778970151
CLEVELAND,2004,14215,22750,35.3341,-81.5555,99519,0.1428370461921844,0.2285995639023704
COLUMBUS,2004,10343,10773,34.2656,-78.655,50623,0.2043142445133635,0.21280840724571834
CRAVEN,2004,14019,23575,35.1249,-77.0939,100720,0.1391878474980143,0.2340647339158062
CUMBERLAND,2004,45788,49139,35.0487,-78.8277,334728,0.13679166367916637,0.1468027771802777
CURRITUCK,2004,2909,6013,36.4031,-76.0059,28100,0.10352313167259787,0.21398576512455517
DARE,2004,6136,9345,35.7805,-75.7982,36915,0.16621969389137206,0.25314912637139375
DAVIDSON,2004,17191,42075,35.7933,-80.2128,168930,0.10176404427869531,0.2490676611614278
DAVIE,2004,4233,12372,35.9291,-80.5445,42712,0.09910563775988013,0.2896609852032216
DUPLIN,2004,6923,9611,34.9365,-77.933,48715,0.1421122857436108,0.19729036231140307
DURHAM,2004,74524,34614,36.036,-78.8766,324833,0.229422503255519,0.10655937050730684
